,player,move_x,move_y
0,0,5,10
1,1,8,5
2,0,5,3
3,1,8,1
4,0,4,8
5,1,1,10
6,0,4,10
7,1,14,6
8,0,3,8
9,1,14,9
10,0,0,13
11,1,9,10
12,0,10,9
13,1,7,14
14,0,11,14
15,1,12,14
16,0,13,3
17,1,9,12
18,0,7,11
19,1,0,7
20,0,5,4
21,1,9,9
22,0,9,7
23,1,11,9
24,0,8,4
25,1,3,12
26,0,13,1
27,1,3,5
28,0,7,6
29,1,13,7
30,0,12,7
31,1,1,0
32,0,13,2
33,1,8,8
34,0,3,10
35,1,11,10
36,0,2,5
37,1,0,1
38,0,3,0
39,1,9,0
40,0,9,14
41,1,4,6
42,0,6,3
43,1,7,2
44,0,1,4
45,1,3,7
46,0,10,3
47,1,8,10
48,0,3,6
49,1,5,8
50,0,9,11
51,1,5,5
52,0,10,2
53,1,0,4
54,0,1,2
55,1,11,3
56,0,10,13
57,1,14,3
58,0,12,13
59,1,8,6
60,0,9,8
61,1,2,9
62,0,8,2
63,1,0,6
64,0,14,12
65,1,6,12
66,0,10,11
67,1,2,4
68,0,1,13
69,1,5,7
70,0,4,2
71,1,6,1
72,0,8,0
73,1,12,6
74,0,2,14
75,1,7,5
76,0,3,1
77,1,2,8
78,0,8,9
79,1,11,5
80,0,6,6
81,1,12,5
82,0,5,1
83,1,9,3
84,0,7,7
85,1,7,3
86,0,12,1
87,1,11,2
88,0,6,5
89,1,8,3
90,0,11,8
91,1,1,8
92,0,4,14
93,1,10,1
94,0,13,6
95,1,7,9
96,0,9,1
97,1,3,4
98,0,6,11
99,1,1,5
100,0,11,4
101,1,12,2
102,0,9,5
103,1,6,9
104,0,2,6
105,1,0,5
106,0,12,8
107,1,2,7
108,0,13,14
109,1,0,11
110,0,4,3
111,1,6,4
